Date : 2022-03-07 20:50:58
Directory : /home/lqf/cpp/Itachi
Total : 68 files,  20889 codes, 4554 comments, 3640 blanks, all 29083 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| src/Base/src                                                                                   |          5 |        600 |        144 |         56 |        800 |
| src/Net                                                                                        |          4 |        329 |         37 |         40 |        406 |
| src/Net/include                                                                                |          2 |        219 |         16 |         33 |        268 |
| src/Net/src                                                                                    |          2 |        110 |         21 |          7 |        138 |
| test                                                                                           |          4 |        119 |         34 |         38 |        191 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                       | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /home/lqf/cpp/Itachi/README.md                                                                 | Markdown    |          9 |          8 |          1 |         18 |
| /home/lqf/cpp/Itachi/build/CMakeCache.txt                                                      | CMake Cache |        257 |          0 |         60 |        317 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CMakeCCompiler.cmake                               | CMake       |         54 |          0 |         14 |         68 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CMakeCXXCompiler.cmake                             | CMake       |         55 |          0 |         14 |         69 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CMakeSystem.cmake                                  | CMake       |         10 |          0 |          6 |         16 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CompilerIdC/CMakeCCompilerId.c                     | C           |        417 |         50 |         95 |        562 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CompilerIdCXX/CMakeCXXCompilerId.cpp               | C++         |        390 |         52 |         92 |        534 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/CMakeDirectoryInformation.cmake                          | CMake       |         12 |          0 |          5 |         17 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/CMakeOutput.log                                          | Log         |        464 |          0 |         57 |        521 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/Makefile.cmake                                           | CMake       |         53 |          0 |          6 |         59 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/feature_tests.c                                          | C           |         31 |          0 |          4 |         35 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/feature_tests.cxx                                        | C++         |        402 |          0 |          4 |        406 |
| /home/lqf/cpp/Itachi/build/Makefile                                                            | Makefile    |        113 |         68 |         66 |        247 |
| /home/lqf/cpp/Itachi/build/cmake_install.cmake                                                 | CMake       |         44 |          0 |          9 |         53 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/CMakeDirectoryInformation.cmake                 | CMake       |         12 |          0 |          5 |         17 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/ITACHI_BASE.dir/DependInfo.cmake                | CMake       |         23 |          0 |          4 |         27 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/ITACHI_BASE.dir/cmake_clean.cmake               | CMake       |         13 |          0 |          2 |         15 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/ITACHI_BASE_STATIC.dir/DependInfo.cmake         | CMake       |         23 |          0 |          4 |         27 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/ITACHI_BASE_STATIC.dir/cmake_clean.cmake        | CMake       |         13 |          0 |          2 |         15 |
| /home/lqf/cpp/Itachi/build/src/Base/CMakeFiles/ITACHI_BASE_STATIC.dir/cmake_clean_target.cmake | CMake       |          3 |          0 |          1 |          4 |
| /home/lqf/cpp/Itachi/build/src/Base/Makefile                                                   | Makefile    |        180 |         57 |         95 |        332 |
| /home/lqf/cpp/Itachi/build/src/Base/cmake_install.cmake                                        | CMake       |         29 |          0 |          6 |         35 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/CMakeDirectoryInformation.cmake                  | CMake       |         12 |          0 |          5 |         17 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/ITACHI_NET.dir/DependInfo.cmake                  | CMake       |         22 |          0 |          4 |         26 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/ITACHI_NET.dir/cmake_clean.cmake                 | CMake       |         10 |          0 |          2 |         12 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/ITACHI_NET_STATIC.dir/DependInfo.cmake           | CMake       |         22 |          0 |          4 |         26 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/ITACHI_NET_STATIC.dir/cmake_clean.cmake          | CMake       |         10 |          0 |          2 |         12 |
| /home/lqf/cpp/Itachi/build/src/Net/CMakeFiles/ITACHI_NET_STATIC.dir/cmake_clean_target.cmake   | CMake       |          3 |          0 |          1 |          4 |
| /home/lqf/cpp/Itachi/build/src/Net/Makefile                                                    | Makefile    |        117 |         48 |         68 |        233 |
| /home/lqf/cpp/Itachi/build/src/Net/cmake_install.cmake                                         | CMake       |         29 |          0 |          6 |         35 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/CMakeDirectoryInformation.cmake                     | CMake       |         12 |          0 |          5 |         17 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/buffer_test.dir/DependInfo.cmake                    | CMake       |         25 |          0 |          4 |         29 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/buffer_test.dir/cmake_clean.cmake                   | CMake       |          9 |          0 |          2 |         11 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/config_test.dir/DependInfo.cmake                    | CMake       |         25 |          0 |          4 |         29 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/config_test.dir/cmake_clean.cmake                   | CMake       |          9 |          0 |          2 |         11 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/logger_test.dir/DependInfo.cmake                    | CMake       |         25 |          0 |          4 |         29 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/logger_test.dir/cmake_clean.cmake                   | CMake       |          9 |          0 |          2 |         11 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/threapool_test.dir/DependInfo.cmake                 | CMake       |         25 |          0 |          4 |         29 |
| /home/lqf/cpp/Itachi/build/test/CMakeFiles/threapool_test.dir/cmake_clean.cmake                | CMake       |          9 |          0 |          2 |         11 |
| /home/lqf/cpp/Itachi/build/test/Makefile                                                       | Makefile    |        165 |         60 |         94 |        319 |
| /home/lqf/cpp/Itachi/build/test/cmake_install.cmake                                            | CMake       |         29 |          0 |          6 |         35 |
| /home/lqf/cpp/Itachi/config.json                                                               | JSON        |         24 |          0 |          1 |         25 |
| /home/lqf/cpp/Itachi/src/Base/include/EventLoop.h                                              | C++         |         38 |          9 |          4 |         51 |
| /home/lqf/cpp/Itachi/src/Base/include/callback.h                                               | C++         |         10 |          8 |          3 |         21 |
| /home/lqf/cpp/Itachi/src/Base/include/channel.h                                                | C++         |         72 |          8 |          3 |         83 |
| /home/lqf/cpp/Itachi/src/Base/include/config.h                                                 | C++         |        245 |         29 |         27 |        301 |
| /home/lqf/cpp/Itachi/src/Base/include/definition.h                                             | C++         |         20 |         13 |         15 |         48 |
| /home/lqf/cpp/Itachi/src/Base/include/fiber.h                                                  | C++         |          0 |          8 |          1 |          9 |
| /home/lqf/cpp/Itachi/src/Base/include/json.hpp                                                 | C++         |     15,660 |      3,846 |      2,604 |     22,110 |
| /home/lqf/cpp/Itachi/src/Base/include/logger.h                                                 | C++         |        384 |         28 |         48 |        460 |
| /home/lqf/cpp/Itachi/src/Base/include/noncopyaable.h                                           | C++         |         15 |          8 |          2 |         25 |
| /home/lqf/cpp/Itachi/src/Base/include/singleton.h                                              | C++         |         21 |          8 |          2 |         31 |
| /home/lqf/cpp/Itachi/src/Base/include/thread_linux.h                                           | C++         |          0 |          8 |          1 |          9 |
| /home/lqf/cpp/Itachi/src/Base/include/threadpoll_linux.h                                       | C++         |          0 |          8 |          1 |          9 |
| /home/lqf/cpp/Itachi/src/Base/include/threadpool_c++11.h                                       | C++         |        178 |         15 |         21 |        214 |
| /home/lqf/cpp/Itachi/src/Base/src/EventLoop.cpp                                                | C++         |         79 |          8 |          4 |         91 |
| /home/lqf/cpp/Itachi/src/Base/src/channel.cpp                                                  | C++         |        119 |         13 |          6 |        138 |
| /home/lqf/cpp/Itachi/src/Base/src/config.cpp                                                   | C++         |         68 |         16 |          9 |         93 |
| /home/lqf/cpp/Itachi/src/Base/src/logger.cpp                                                   | C++         |        231 |         97 |         30 |        358 |
| /home/lqf/cpp/Itachi/src/Base/src/threadpool_c++11.cpp                                         | C++         |        103 |         10 |          7 |        120 |
| /home/lqf/cpp/Itachi/src/Net/include/buffer.h                                                  | C++         |        174 |          8 |         28 |        210 |
| /home/lqf/cpp/Itachi/src/Net/include/socket.h                                                  | C++         |         45 |          8 |          5 |         58 |
| /home/lqf/cpp/Itachi/src/Net/src/buffer.cpp                                                    | C++         |         27 |          8 |          0 |         35 |
| /home/lqf/cpp/Itachi/src/Net/src/socket.cpp                                                    | C++         |         83 |         13 |          7 |        103 |
| /home/lqf/cpp/Itachi/test/buffer_test.cpp                                                      | C++         |         20 |          9 |          4 |         33 |
| /home/lqf/cpp/Itachi/test/config_test.cpp                                                      | C++         |         30 |          8 |          5 |         43 |
| /home/lqf/cpp/Itachi/test/logger_test.cpp                                                      | C++         |         28 |          8 |         16 |         52 |
| /home/lqf/cpp/Itachi/test/threapool_test.cpp                                                   | C++         |         41 |          9 |         13 |         63 |
| Total                                                                                          |             |     20,889 |      4,554 |      3,640 |     29,083 |
+------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
